Country,Continent,Region,Landlocked,Is_island,Which_ocean,Number_of_land_borders,Largest_biome,Has_desert,Has_rainforest,Has_mountains,Average_altitude_band,Volcanic_activity,Climate_zone,Average_temperature_band,Has_tropical_region,Has_arctic_region,Monsoon_season,Average_rainfall_band,Population_band,Population_density_band,Official_language_family,Number_of_official_languages,Dominant_religion,Urbanisation_rate_band,Median_age_band,Gdp_per_capita_band,Primary_industry,Major_export_category,Currency_type,Government_type,Un_member,Nato_member,Commonwealth_member,Eu_member,Gained_independence_after_1900,Drives_on_left,Metric_system,Colonial_history
Burundi,Africa,Eastern Africa,Yes,No,None,3,savanna,No,No,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Medium (10M-50M),Very dense (> 1000),Niger-Congo,3,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Cabo Verde,Africa,Western Africa,No,Yes,Atlantic,0,desert,No,No,Yes,Lowland (< 200m),Yes,Arid,Warm (20-25 C),Yes,No,No,Arid (< 250 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",tourism,services,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Cambodia,Asia,Southeast Asia,No,No,Pacific,3,tropical rainforest,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Austroasiatic,1,Buddhism,Mixed (50-70%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Cameroon,Africa,Middle Africa,No,No,Atlantic,6,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,2,Christianity,Mixed (50-70%),Very young (< 20),"Lower-middle ($1,000-$4,000)",agriculture,oil & gas,CFA Franc Central,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Canada,North America,Northern America,No,No,Arctic,1,boreal forest,No,Yes,Yes,Moderate (500-1000m),Yes,Polar,Very cold (< 0 C),No,Yes,No,Semi-arid (250-500 mm),Medium (10M-50M),Very sparse (< 25),Indo-European,2,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,oil & gas,own free-floating currency,constitutional monarchy,Yes,Yes,Yes,No,No,No,Yes,Yes
Central African Republic,Africa,Middle Africa,Yes,No,None,6,savanna,No,Yes,No,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,2,Christianity,Mixed (50-70%),Very young (< 20),"Low income (< $1,000)",agriculture,minerals,CFA Franc Central,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Chad,Africa,Middle Africa,Yes,No,None,6,desert,Yes,No,Yes,Low-to-moderate (200-500m),Yes,Arid,Hot (> 25 C),Yes,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Very sparse (< 25),Afro-Asiatic,2,Islam,Rural-leaning (30-50%),Very young (< 20),"Low income (< $1,000)",oil & gas,oil & gas,CFA Franc Central,transitional/provisional government,Yes,No,No,No,Yes,No,Yes,Yes
Chile,South America,South America,No,No,Pacific,3,desert,Yes,Yes,Yes,Moderate (500-1000m),Yes,Mediterranean,Mild (10-20 C),No,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Sparse (25-100),Indo-European,0,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
China,Asia,Eastern Asia,No,No,Pacific,14,desert,Yes,Yes,Yes,High (1000-2000m),Yes,Temperate,Mild (10-20 C),Yes,No,Yes,Moderate (500-1000 mm),Mega (> 200M),Moderate (100-300),Sino-Tibetan,1,Non-religious,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",manufacturing,electronics,own managed currency (other),one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Colombia,South America,South America,No,No,Pacific,5,tropical rainforest,Yes,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Large (50M-200M),Sparse (25-100),Indo-European,1,Christianity,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Comoros,Africa,Eastern Africa,No,Yes,Indian,0,tropical rainforest,No,Yes,Yes,Lowland (< 200m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Afro-Asiatic,3,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Congo,Africa,Middle Africa,No,No,Atlantic,5,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Very young (< 20),"Lower-middle ($1,000-$4,000)",oil & gas,oil & gas,CFA Franc Central,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Costa Rica,North America,Central America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Older (35-42),"High ($15,000-$40,000)",services,electronics,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Cote dIvoire,Africa,Western Africa,No,No,Atlantic,5,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,CFA Franc West,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Croatia,Europe,Southern Europe,No,No,Atlantic,5,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Mediterranean,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Cuba,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Upper-middle ($4,000-$15,000)",services,services,own pegged currency (other),one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Cyprus,Asia,Western Asia,No,Yes,Atlantic,0,mediterranean shrubland,No,No,Yes,Low-to-moderate (200-500m),No,Mediterranean,Warm (20-25 C),No,No,No,Semi-arid (250-500 mm),Small (1M-10M),Moderate (100-300),Indo-European,2,Christianity,Urban-leaning (70-85%),Older (35-42),"High ($15,000-$40,000)",services,services,Euro,presidential republic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Czechia,Europe,Eastern Europe,Yes,No,None,4,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,machinery,own free-floating currency,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Denmark,Europe,Northern Europe,No,No,Atlantic,1,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,own pegged currency (other),constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,Yes
Djibouti,Africa,Eastern Africa,No,No,Indian,3,desert,Yes,No,No,Lowland (< 200m),Yes,Arid,Hot (> 25 C),Yes,No,No,Arid (< 250 mm),Micro (< 1M),Sparse (25-100),Afro-Asiatic,2,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",services,services,own pegged currency (other),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Dominica,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Older (35-42),"High ($15,000-$40,000)",agriculture,agricultural products,Eastern Caribbean Dollar (ECCU),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Dominican Republic,North America,Caribbean,No,Yes,Atlantic,1,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Ecuador,South America,South America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,3,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,US Dollar (official use),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Egypt,Africa,Northern Africa,No,No,Atlantic,4,desert,Yes,No,Yes,Low-to-moderate (200-500m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Large (50M-200M),Sparse (25-100),Afro-Asiatic,1,Islam,Rural-leaning (30-50%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
El Salvador,North America,Central America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,textiles,US Dollar (official use),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Equatorial Guinea,Africa,Middle Africa,No,No,Atlantic,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,3,Christianity,Mixed (50-70%),Very young (< 20),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,CFA Franc Central,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Eritrea,Africa,Eastern Africa,No,No,Indian,3,desert,Yes,No,Yes,Moderate (500-1000m),Yes,Arid,Warm (20-25 C),Yes,No,No,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Afro-Asiatic,3,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Estonia,Europe,Northern Europe,No,No,Atlantic,2,boreal forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Uralic,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Eswatini,Africa,Southern Africa,Yes,No,None,2,savanna,No,No,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,2,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),absolute monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Ethiopia,Africa,Eastern Africa,Yes,No,None,6,savanna,No,No,Yes,High (1000-2000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Afro-Asiatic,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,federal parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Fiji,Oceania,Melanesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,3,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",tourism,agricultural products,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Finland,Europe,Northern Europe,No,No,Atlantic,3,boreal forest,No,No,No,Lowland (mean elevation < 200m),No,Polar,Cold (0-10 C),No,Yes,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Uralic,2,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
France,Europe,Western Europe,No,No,Atlantic,8,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Gabon,Africa,Middle Africa,No,No,Atlantic,3,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,1,Christianity,Highly urban (> 85%),Very young (< 20),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,CFA Franc Central,transitional/provisional government,Yes,No,Yes,No,Yes,No,Yes,Yes
Gambia,Africa,Western Africa,No,No,Atlantic,1,savanna,No,No,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Georgia,Asia,Western Asia,No,No,Atlantic,4,mountain/alpine,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Kartvelian,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Germany,Europe,Western Europe,No,No,Atlantic,9,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",manufacturing,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,No,No,Yes,Yes
